"id","word","type","translation_fr","example_1_en","example_1_fr","example_2_en","example_2_fr","example_3_en","example_3_fr","scramble_easy_sentence","scramble_easy_words","scramble_medium_sentence","scramble_medium_words","scramble_hard_sentence","scramble_hard_words"
"12","accept","verb","accepter","I will accept the offer.","Je vais accepter l'offre.","The manager will accept your proposal after reviewing all details today.","Le directeur acceptera votre proposition après avoir examiné tous les détails aujourd'hui.","If the client accepts the revised terms, we can proceed with the project immediately and avoid delays.","Si le client accepte les termes révisés, nous pouvons procéder immédiatement au projet et éviter les retards.","I will accept the offer.","I / will / accept / the / offer.","The manager will accept your proposal after reviewing all details today.","The / manager / will / accept / your / proposal / after / reviewing / all / details / today.","If the client accepts the revised terms, we can proceed with the project immediately and avoid delays.","If / the / client / accepts / the / revised / terms, / we / can / proceed / with / the / project / immediately / and / avoid / delays."
"10","advertisement","noun","publicité","The company launched a new advertisement on television.","La société a lancé une nouvelle publicité à la télévision.","Our advertisement campaign increased sales by 15%.","Notre campagne publicitaire a augmenté les ventes de 15 %.","She read the advertisement in the newspaper before buying the product.","Elle a lu la publicité dans le journal avant d'acheter le produit.","The advertisement was aired yesterday.","The / advertisement / was / aired / yesterday","Customers responded positively to the new advertisement last week and saw a rise in inquiries.","Customers / responded / positively / to / the / new / advertisement / last / week / and / saw / a / rise / in / inquiries","Despite the high cost, the advertisement campaign was deemed successful because it reached over five million viewers worldwide.","Despite / the / high / cost, / the / advertisement / campaign / was / deemed / successful / because / it / reached / over / five / million / viewers / worldwide"
"14","appliance","noun","appareil","Our company purchased a new kitchen appliance for the office break room.","Notre entreprise a acheté un nouvel appareil de cuisine pour la salle de pause du bureau.","Please turn off the appliance before leaving the hotel room.","Veuillez éteindre l'appareil avant de quitter la chambre d'hôtel.","The appliance malfunctioned during the presentation, causing delays.","L'appareil a mal fonctionné pendant la présentation, provoquant des retards.","A small appliance can save energy.","A / small / appliance / can / save / energy","Employees should use the appliance responsibly to avoid unnecessary maintenance costs.","Employees / should / use / the / appliance / responsibly / to / avoid / unnecessary / maintenance / costs.","During the annual audit, we discovered that the appliance's warranty had expired, requiring immediate replacement.","During / the / annual / audit, / we / discovered / that / the / appliance's / warranty / had / expired, / requiring / immediate / replacement."
"13","advice","noun","conseil","She gave me good advice.","Elle m'a donné de bons conseils.","The manager offered helpful advice to ensure the project meets the deadline.","Le directeur a offert des conseils utiles pour garantir que le projet respecte la date limite.","Despite initial setbacks, the consultant provided strategic advice that significantly improved the company's overall quarterly performance.","Malgré les premiers revers, le consultant a fourni des conseils stratégiques qui ont considérablement amélioré la performance globale trimestrielle de l'entreprise.","She gave me good advice.","She / gave / me / good / advice.","The manager offered helpful advice to ensure the project meets the deadline.","The / manager / offered / helpful / advice / to / ensure / the / project / meets / the / deadline.","Despite initial setbacks, the consultant provided strategic advice that significantly improved the company's overall quarterly performance.","Despite / initial / setbacks, / the / consultant / provided / strategic / advice / that / significantly / improved / the / company’s / overall / quarterly / performance."
"15","access","noun","accès","We need to grant access to the new employee.","Nous devons accorder l'accès au nouvel employé.","The system provides secure access for authorized users.","Le système fournit un accès sécurisé aux utilisateurs autorisés.","Please request access to the confidential files.","Veuillez demander l'accès aux fichiers confidentiels.","Access is required for all staff.","Access / is / required / for / all / staff","Only employees with proper clearance can gain access to the server room.","Only / employees / with / proper / clearance / can / gain / access / to / the / server / room","The IT department will audit all access logs before implementing any new security protocols to ensure compliance with industry standards.","The / IT / department / will / audit / all / access / logs / before / implementing / any / new / security / protocols / to / ensure / compliance / with / industry / standards"
"16","advise","verb","conseiller","The manager advised the team to submit the report by Friday.","Le directeur a conseillé à l'équipe de soumettre le rapport avant vendredi.","I advise you to check the flight schedule before booking.","Je vous conseille de vérifier l'horaire des vols avant de réserver.","She advised that we should postpone the meeting until next week.","Elle a conseillé que nous devions reporter la réunion jusqu'à la semaine prochaine.","Please advise me on the best route.","Please / advise / me / on / the / best / route","The consultant advised the client to reduce costs by 10 percent.","The / consultant / advised / the / client / to / reduce / costs / by / 10 / percent","After reviewing the data, the analyst advised that the project should be delayed until additional resources are available.","After / reviewing / the / data, / the / analyst / advised / that / the / project / should / be / delayed / until / additional / resources / are / available"
"17","applicant","noun","candidat","The job posting attracted many applicants from overseas.","L’offre d’emploi a attiré de nombreux candidats à l’étranger.","We received over a hundred applications today, but only ten were shortlisted.","Nous avons reçu plus d’une centaine de candidatures aujourd’hui, mais seulement dix ont été présélectionnées.","The HR manager reviewed each applicant's résumé before the interview.","Le responsable RH a examiné le CV de chaque candidat avant l’entretien.","Applicants are expected to submit their resumes by Friday.","Applicants / are / expected / to / submit / their / resumes / by / Friday.","The company will evaluate all applicants based on experience and qualifications.","The / company / will / evaluate / all / applicants / based / on / experience / and / qualifications.","During the recruitment process, each applicant must complete a background check and provide references.","During / the / recruitment / process, / each / applicant / must / complete / a / background / check / and / provide / references."
"18","accessible","adjective","accessible","The new office building is fully accessible for employees with disabilities.","Le nouveau bâtiment de bureaux est entièrement accessible aux employés handicapés.","We need an accessible website that complies with the latest standards.","Nous avons besoin d'un site Web accessible qui respecte les dernières normes.","The conference room has accessible seating for all participants.","La salle de conférence dispose de sièges accessibles pour tous les participants.","The building is accessible and open to everyone.","The / building / is / accessible / and / open / to / everyone","Our customer service team ensures that the product information page remains fully accessible online.","Our / customer / service / team / ensures / that / the / product / information / page / remains / fully / accessible / online","During the audit, the compliance officer confirmed that all corporate files are stored in an accessible format.","During / the / audit, / the / compliance / officer / confirmed / that / all / corporate / files / are / stored / in / an / accessible / format"
"19","affect","verb","affecter","The new policy will affect the company's profit margins.","La nouvelle politique affectera les marges bénéficiaires de l'entreprise.","Customer feedback can affect product development decisions.","Les retours des clients peuvent influencer les décisions de développement produit.","Market trends may affect our sales forecast for next quarter.","Les tendances du marché peuvent impacter notre prévision des ventes pour le prochain trimestre.","The meeting will affect the project timeline.","project / The / timeline / affect / will / meeting / the","Unexpected delays could affect the delivery schedule and customer satisfaction.","delays / Unexpected / could / affect / the / delivery / schedule / and / customer / satisfaction","While reviewing the quarterly report, we realized that regulatory changes might significantly affect both operational costs and compliance requirements.","While / reviewing / the / quarterly / report, / we / realized / that / regulatory / changes / might / significantly / affect / both / operational / costs / and / compliance / requirements"
"21","accident","noun","accident","The company reported a minor accident at the factory.","La société a signalé un léger accident à l'usine.","During the flight, an unexpected accident caused delays.","Pendant le vol, un accident inattendu a provoqué des retards.","Employees were trained to respond quickly in case of any accident.","Les employés ont été formés pour réagir rapidement en cas d'accident quelconque.","The accident caused a brief delay.","The / accident / caused / a / brief / delay","After the accident, the safety team conducted an immediate investigation to ensure compliance.","After / the / accident,/ the / safety / team / conducted / an / immediate / investigation / to / ensure / compliance","Following the severe accident at the construction site, management implemented stricter protocols and scheduled comprehensive training sessions.","Following / the / severe / accident / at / the / construction / site,/ management / implemented / stricter / protocols / and / scheduled / comprehensive / training / sessions"
"20","application","noun","application","Please submit your application by Friday.","Veuillez soumettre votre candidature d'ici vendredi.","The application requires a valid ID and proof of address.","L'application nécessite une pièce d'identité valide et un justificatif de domicile.","We received an application for the new marketing position.","Nous avons reçu une candidature pour le nouveau poste marketing.","Pending the approval application is.","pending / The / approval / application / is","Must applicants submit their application all before deadline to be considered the.","must / applicants / submit / their / application / All / before / deadline / to / be / considered / the","Will software company's streamline new application the process customer times reduce response and efficiently service.","will / software / company’s / streamline / new / application / The / process / customer / times / reduce / response / and / efficiently / service"
"22","afford","verb","se permettre","I can't afford the new office lease.","Je ne peux pas me permettre le nouveau loyer de bureau.","We need to find a way to afford the training costs.","Nous devons trouver un moyen de nous permettre les frais de formation.","The company will not afford any additional travel expenses.","L'entreprise ne pourra pas se permettre d'autres frais de voyage.","They can afford a small conference room.","room / They / conference / a / small / can / afford","Despite the budget cuts, we still afford high-quality equipment for our projects.","budget / for / cuts, / high-quality / project / still / we / equipment / the / afford / our / Despite / management / company","Although the quarterly report shows a decline, management decided the company will still afford premium client services.","decline, / Although / quarterly / report / client / services / management / company / premium / the / decide / will / still / afford / a / the"
"23","apply","verb","appliquer","I will apply for the marketing position next week.","Je vais postuler pour le poste de marketing la semaine prochaine.","Please apply the new policy to all employees.","Veuillez appliquer la nouvelle politique à tous les employés.","He applied his skills during the project presentation.","Il a appliqué ses compétences lors de la présentation du projet.","Apply the form before submitting.","form / Apply / before / submitting / the","You should apply the guidelines when preparing quarterly financial reports for audit.","audit / reports / preparing / guidelines / the / you / for / when / quarterly / financial / should / apply","Before submitting the proposal, you must apply all the revised safety regulations and ensure compliance with international standards.","apply / regulations / the / before / submitting / proposal, / you / must / all / revised / safety / and / ensure / compliance / with / international / standards"
"24","accommodate","verb","accommoder","The hotel can accommodate up to 200 guests.","L'hôtel peut accommoder jusqu'à 200 clients.","We will accommodate your request for a late check-out.","Nous répondrons à votre demande d'enregistrement tardif.","Our software accommodates multiple languages.","Notre logiciel prend en charge plusieurs langues.","The company will accommodate the new policy.","The / company / will / accommodate / the / new / policy","We must accommodate all employees' needs during the relocation process to ensure smooth transition.","We / must / accommodate / all / employees' / needs / during / the / relocation / process / to / ensure / smooth / transition","The conference organizers will accommodate international participants by providing multilingual support and accessible facilities throughout the event.","The / conference / organizers / will / accommodate / international / participants / by / providing / multilingual / support / and / accessible / facilities / throughout / the / event"
"27","accommodation","noun","hébergement","We booked a comfortable accommodation for our business trip.","Nous avons réservé un hébergement confortable pour notre voyage d'affaires.","The hotel offers free Wi‑Fi in all accommodations.","L'hôtel propose le Wi‑Fi gratuit dans tous les hébergements.","She prefers eco-friendly accommodation near the city center.","Elle préfère un hébergement écologique près du centre-ville.","Please confirm your accommodation details.","Please / confirm / your / accommodation / details","We need to arrange suitable accommodation for the conference attendees.","We / need / to / arrange / suitable / accommodation / for / the / conference / attendees","The company is evaluating various accommodations based on cost, location, and amenities before finalizing the contract.","The / company / is / evaluating / various / accommodations / based / on / cost, / location, / and / amenities / before / finalizing / the / contract"
"26","appoint","verb","nommer","The manager will appoint a new project lead next week.","Le responsable nommera un nouveau chef de projet la semaine prochaine.","We need to appoint the committee chair before the meeting.","Nous devons nommer le président du comité avant la réunion.","She was appointed as the head of marketing last month.","Elle a été nommée chef du marketing le mois dernier.","The company will appoint a senior analyst.","The / company / will / appoint / a / senior / analyst","After reviewing all candidates, the board decided to appoint a new director.","After / reviewing / all / candidates, / the / board / decided / to / appoint / a / new / director","Despite initial concerns about budget constraints, the executive committee will appoint an interim manager until a permanent replacement is found.","Despite / initial / concerns / about / budget / constraints, / the / executive / committee / will / appoint / an / interim / manager / until / a / permanent / replacement / is / found"
"28","agency","noun","agence","The travel agency booked our flights for the conference.","L'agence de voyage a réservé nos vols pour la conférence.","Our marketing agency increased brand awareness through social media campaigns.","Notre agence de marketing a renforcé la notoriété de la marque grâce aux campagnes sur les réseaux sociaux.","The government agency issued new regulations on data privacy.","L'agence gouvernementale a publié de nouvelles réglementations concernant la confidentialité des données.","The agency will provide assistance.","agency / The / will / assistance / provide","Our agency has been working closely with the client to develop a new strategy.","client / Our / strategy / agency / developing / have / closely / the / new / to / be / working / with / has / develop / agency","The international agency collaborated with local partners to launch an innovative sustainability initiative across multiple regions.","initiative / The / partners / agency / collaborate / launch / local / multiple / sustainability / innovation / regions / with / international / across / to / an"
"29","appointment","noun","rendez‑vous","I have an appointment with the dentist tomorrow.","J'ai un rendez‑vous chez le dentiste demain.","Please schedule a meeting for the client’s appointment next week.","Veuillez planifier une réunion pour le rendez‑vous du client la semaine prochaine.","The appointment was postponed due to unforeseen circumstances.","Le rendez‑vous a été reporté en raison de circonstances imprévues.","We need to confirm your appointment today.","today / We / appointment / confirm / your / need / to","She will attend her appointment at the office after lunch.","office / She / after / her / attend / lunch / will / at / appointment / the","The company’s annual appointment review meeting is scheduled for next Thursday at 3 p.m.","p.m. / The / company’s / scheduled / for / Thursday / 3 / meeting / review / appointment / next / annual / is / at"
"30","accomplish","verb","accomplir","We will accomplish the project by Friday.","Nous terminerons le projet d'ici vendredi.","She accomplished her sales target for the quarter.","Elle a atteint son objectif de ventes pour le trimestre.","The team accomplished the task efficiently.","L'équipe a accompli la tâche efficacement.","They will accomplish the goal soon.","They / will / accomplish / the / goal / soon","The manager expects us to accomplish all milestones before the end of the month.","The / manager / expects / us / to / accomplish / all / milestones / before / the / end / of / the / month","Despite the challenges, we must accomplish every deliverable to satisfy our client's stringent quality standards.","Despite / the / challenges,/ / we / must / accomplish / every / deliverable / to / satisfy / our / client's / stringent / quality / standards"
"31","agenda","noun","agenda","The meeting agenda was distributed before the conference.","L'agenda de la réunion a été distribué avant la conférence.","Please review the agenda for tomorrow's training session.","Veuillez examiner l'agenda pour la séance de formation d'aujourd'hui.","She updated the agenda to reflect new project deadlines.","Elle a mis à jour l'agenda afin de refléter les nouvelles dates limites du projet.","We need to finalize the agenda today.","agenda / We / today. / finalize / need / the / to","The team will review the agenda and make necessary adjustments before the presentation.","the / team / adjust / necessary / presentation. / review / the / agenda / before / make / will / The / and","After receiving feedback from stakeholders, we revised the agenda to align with the company's strategic objectives for the upcoming quarter.","quarter. / After / stakeholders, / objectives / company’s / strategic / the / to / from / feedback / aligning / the / agenda / we / revised / for / the / upcoming / receiving"
"34","agree","verb","être d’accord","I agree with the proposal presented by the team.","Je suis d'accord avec la proposition présentée par l'équipe.","She agreed to attend the meeting on Friday.","Elle a accepté de participer à la réunion vendredi.","We all agreed that the deadline should be extended.","Nous avons tous convenu que la date limite devrait être prolongée.","I agree with the new policy","policy / I / agree / with / the / new","The manager agreed to postpone the project launch until next month","launch / The / postponed / project / until / next / manager / agreed / to / month / the / launch","Despite initial concerns, the board agreed that the revised budget would meet all compliance requirements by year-end","board / Despite / initial / concerns , / agreed / that / revised / budget / would / meet / all / compliance / requirements / by / year-end / the"
"25","affordable","adjective","abordable","The hotel offers affordable rates for business travelers.","L'hôtel propose des tarifs abordables pour les voyageurs d'affaires.","We need an affordable solution that meets our budget constraints.","Nous avons besoin d'une solution abordable qui respecte nos contraintes budgétaires.","Her new smartphone is both stylish and affordable, making it popular among students.","Son nouveau smartphone est à la fois élégant et abordable, ce qui le rend populaire parmi les étudiants.","The hotel offers affordable rates for travelers","The / hotel / offers / affordable / rates / for / travelers","We need an affordable solution that meets our budget constraints and deadlines","We / need / an / affordable / solution / that / meets / our / budget / constraints / and / deadlines","Despite the high competition, the company managed to launch an affordable product line that appeals to a wide range of customers worldwide","Despite / the / high / competition, / the / company / managed / to / launch / an / affordable / product / line / that / appeals / to / a / wide / range / of / customers / worldwide"
"32","appreciable","adjective","notable","The increase in sales was appreciable over the last quarter.","L'augmentation des ventes était notable au cours du dernier trimestre.","Her performance improvement is appreciable and will be rewarded.","Son amélioration de performance est notable et sera récompensée.","The cost savings from the new process are appreciable.","Les économies de coûts grâce au nouveau processus sont notables.","The results were appreciably good.","were / The / good / results / appreciably","The project deadline was extended, but the progress on schedule remains appreciable.","was / The / progress / extended, / schedule / on / deadline / project / remains / but / the / appreciable.","Despite the initial setbacks, the team's innovative solutions have led to an appreciably higher customer satisfaction rate.","Despite / the / initial / setbacks,/ the / team's / innovative / solutions / have / led / to / an / appreciably / higher / customer / satisfaction / rate."
"35","appreciate","verb","apprécier","I appreciate your help during the project.","J'apprécie votre aide pendant le projet.","We will appreciate any feedback you can provide.","Nous apprécierons tout retour que vous pourrez fournir.","She appreciated the prompt response from customer service.","Elle a apprécié la réponse rapide du service client.","Thank you for your assistance.","assistance / Thank / for / your / you","We appreciate the quick turnaround on the report submitted last week.","turnaround / We / quick / the / report / on / submitted / last / appreciate / week / the","The company will appreciate any suggestions that help improve efficiency and reduce costs for future projects.","company / The / reduce / any / improve / help / costs / for / appreciate / project / future / suggestions / efficiency / that / will / projects / and"
"33","accomplishment","noun","accomplissement","Completing the project on time was a major accomplishment for the team.","Terminer le projet à temps fut un accomplissement majeur pour l'équipe.","Her promotion is an accomplishment that reflects her hard work and dedication.","Sa promotion est un accomplissement qui reflète son travail acharné et sa dévotion.","The company celebrated its 10-year anniversary as a significant accomplishment in the industry.","La société a célébré son dixième anniversaire comme un accomplissement significatif dans l'industrie.","She achieved a major accomplishment yesterday.","She / achieved / a / major / accomplishment / yesterday.","The team’s successful launch of the new product was an outstanding accomplishment for the company.","The / team’s / successful / launch / of / the / new / product / was / an / outstanding / accomplishment / for / the / company.","Despite facing numerous challenges, the project manager’s perseverance led to a remarkable accomplishment that exceeded all expectations.","Despite / facing / numerous / challenges, / the / project / manager’s / perseverance / led / to / a / remarkable / accomplishment / that / exceeded / all / expectations."
"36","according","preposition","selon","According to the report, sales increased by 15%.","Selon le rapport, les ventes ont augmenté de 15 %.","We will proceed according to the schedule.","Nous procéderons selon le calendrier.","The decision was made according to company policy.","La décision a été prise conformément à la politique de l’entreprise.","According to the meeting tomorrow.","According / to / the / meeting / tomorrow.","The project deadline is set according to client requirements.","The / project / deadline / is / set / according / to / client / requirements.","Despite the challenges, we will adapt our strategy according to market trends and customer feedback.","Despite / the / challenges, / we / will / adapt / our / strategy / according / to / market / trends / and / customer / feedback."
"37","agreeable","adjective","agréable","The manager found the proposal agreeable.","Le gestionnaire a trouvé la proposition agréable.","We had an agreeable meeting with the client yesterday.","Nous avons eu une réunion agréable avec le client hier.","Her friendly attitude made the negotiation agreeable for both parties.","Son attitude amicale rendait la négociation agréable pour les deux parties.","The team agreed on an agreeable solution.","The / team / agreed / on / an / agreeable / solution","During the conference, the staff found the new policy agreeable and beneficial.","During / the / conference, / the / staff / found / the / new / policy / agreeable / and / beneficial","After reviewing the contract details, the legal department concluded that the terms were both agreeable and enforceable.","After / reviewing / the / contract / details, / the / legal / department / concluded / that / the / terms / were / both / agreeable / and / enforceable"
"40","agreement","noun","accord","The contract was signed after both parties reached an agreement.","Le contrat a été signé après que les deux parties aient atteint un accord.","We need to reach a mutual agreement before proceeding.","Nous devons parvenir à un accord mutuel avant de poursuivre.","The agreement outlines the responsibilities of each employee.","L'accord décrit les responsabilités de chaque employé.","The company will finalize the agreement soon.","will / The / agreement. / company / finalise / the / soon.","After reviewing the terms, the manager proposed an amendment to the agreement.","manager / After / terms, / the / proposed / amendment / the / to / agreement. / reviewing / an / the.","Despite initial objections, the board unanimously accepted the revised agreement, ensuring compliance with all regulatory standards.","board / Despite / the / compliance / all / agreement, / initial / accepted / regulatory / standards. / ensuring / revised / objections, / unanimous / with / the."
"38","appreciation","noun","appréciation","The manager expressed appreciation for the team's hard work.","Le gestionnaire a exprimé son appréciation pour le travail acharné de l'équipe.","We sent a letter of appreciation to our long‑term clients.","Nous avons envoyé une lettre d'appréciation à nos clients à long terme.","Her appreciation of the project helped secure additional funding.","Son appréciation du projet a aidé à sécuriser un financement supplémentaire.","The company thanked employees for their appreciation.","employees / appreciation / for / company / The / thanked / their","During the annual review, senior staff highlighted the importance of employee appreciation.","staff / appreciation / importance / during / the / review, / employee / senior / highlighted / of / annual / the","In response to the client’s feedback, we organized a workshop to demonstrate our sincere appreciation for their continued partnership.","partnership / feedback, / their / to / In / response / client’s / workshop / demonstrate / our / sincere / appreciation / for / we / organized / a / continued / the / In"
"41","appreciative","adjective","appréciatif","The manager was appreciative of the team's effort.","Le directeur était appréciatif de l'effort de l'équipe.","Customers often feel appreciative when service is prompt.","Les clients se sentent souvent appréciatifs lorsque le service est rapide.","She gave an appreciative nod to the speaker.","Elle a donné un hochement de tête appréciatif au conférencier.","The staff was very appreciative.","The / staff / was / very / appreciative","Employees are often appreciative when their contributions are recognized by management.","Employees / are / often / appreciative / when / their / contributions / are / recognized / by / management","During the quarterly review, the board expressed an appreciative tone towards the department's innovative solutions and future plans.","During / the / quarterly / review, / the / board / expressed / an / appreciative / tone / towards / the / department's / innovative / solutions / and / future / plans."
"42","accounting","noun","comptabilité","The accounting department will review the quarterly reports.","Le département comptable examinera les rapports trimestriels.","Accurate accounting is essential for financial compliance.","Une comptabilité précise est essentielle pour la conformité financière.","She specializes in international accounting standards.","Elle se spécialise dans les normes internationales de comptabilité.","The accountant prepares monthly statements.","The / accountant / prepares / monthly / statements.","The accounting team will audit the company's expense claims before the deadline.","The / accounting / team / will / audit / the / company's / expense / claims / before / the / deadline.","Effective accounting practices help reduce errors and improve transparency in financial reporting across all departments today.","Effective / accounting / practices / help / reduce / errors / and / improve / transparency / in / financial / reporting / across / all / departments / today."
